time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-01-16 12:41:54.430 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,750716387328,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1705408914401,,, , , , , , , , , ,3145728,1377,1,1,0,1, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,13,24,50948112, , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-01-16 12:42:54.433 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, ,1792, , , , , , , , , ,17,17, , , ,1,2,21, ,1465, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,750403256320,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623,1,2,0,2, , , ,107,107,2,107, ,3,109, , , , , , , , , , ,4096,2,129225,115, , , , , , ,1,2,146377088, , , , , , , ,2003, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , ,29, ,228, ,179,1120,273,7, , , , , , , , , 
2024-01-16 12:43:54.436 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, ,16, , , , , , , , , ,17,17, , , ,1,2,21, ,26, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,751320760320,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623,0,0,0,0, , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , , ,163154304, , , , , , , ,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,12, , , , , , , , , , , 
2024-01-16 12:44:54.442 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, ,24, , , , , , , , , ,17,17, , , ,1,2,21, ,49, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,750988754944,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623,0,0,0,0, , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , , ,179931520, , , , , , , ,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31,18, , , , , , , , , , , 
2024-01-16 12:45:54.447 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, , , , , , , , , , , ,17,17, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,750764228608,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,188320128, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-01-16 12:46:54.452 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, ,42, , , , , , , , , ,17,17, , , ,1,2,21, ,42, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,750554447872,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623,0,0,0,0, , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , , ,209291648, , , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,42, , , , , , , , , , , 
2024-01-16 12:47:54.455 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, ,16, , , , , , , , , ,17,17, , , ,1,2,21, ,30, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,750385037312,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623,0,0,0,0, , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , , ,226068864, , , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,12, , , , , , , , , , , 
2024-01-16 12:48:54.461 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, ,32, , , , , , , , , ,17,17, , , ,1,2,21, ,60, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,750129053696,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623,0,0,0,0, , , , , , , , ,3,2, , , , , , , , , , , , , , , , , , , , , , ,238651776, , , , , , , ,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36,24, , , , , , , , , , , 
2024-01-16 12:49:54.466 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, ,16, , , , , , , , , ,17,17, , , ,1,2,21, ,30, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,749598539776,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623,0,0,0,0, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , ,249137536, , , , , , , ,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,12, , , , , , , , , , , 
2024-01-16 12:50:54.470 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, , , , , , , , , , , ,17,17, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,749284229120,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,259623296, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-01-16 12:51:54.475 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, ,34, , , , , , , , , ,17,17, , , ,1,2,21, ,67, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,749050331136,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623,0,0,0,0, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , ,1,7,64983040, , , , , , , ,75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,49,18, , , , , , , , , , , 
2024-01-16 12:52:54.481 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, ,12, , , , , , , , , ,17,17, , , ,1,2,21, ,12, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,748629458944,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623,0,0,0,0, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , , , ,81760256, , , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , , 
2024-01-16 12:53:54.485 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, , , , , , , , , , , ,17,17, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,747725848576,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,94343168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-01-16 12:54:54.490 UTC, , , , , , , , , ,589,3321509,173736,1456, ,17, , , , , , , , , , , ,17,17, , , ,1,2,21, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,130652,747566137344,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,130652,1705408914401,,, , , , , , , , , ,3145728,130623, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,104828928, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
