numero_college,nom_etablissement,note_a_l_ecrit_g,va_de_la_note_g,pourcentage_hors_segpa_hors_ulis,pourcenetage_allemand_lv1,pourcentage_filles,ips,ecart_type_de_l_ips,ep_2022_2023,region_academique
,Collège Elisabeth de Nas0080046Gsau,10.5,-0.8,96.875000000000000000000,42.187500000000000000000,54.687500000000000000000,95.7,34.2,HORS EP,GRAND-EST
0100807Y,Collège Pierre Brossolette,9.2,0.3,89.320388349514563107000,0.000000000000000000000,48.543689320388349515000,82.4,30.2,REP+,GRAND-EST
0520049W,Collège Anne Frank,8.1,-0.5,77.227722772277227723000,0.000000000000000000000,51.485148514851485149000,71.6,25.1,REP+,GRAND-EST
0511474A,Collège Pierre Gilles de Gennes,9.8,NULL,93.406593406593406593000,0.000000000000000000000,47.252747252747252747000,85.4,28.5,HORS EP,GRAND-EST
0510044W,Collège Colbert,9.2,-0.6,97.560975609756097561000,13.008130081300813008000,46.341463414634146341000,76.8,23.6,REP+,GRAND-EST
0511085C,Collège Robert Schuman,9.6,-0.1,98.657718120805369128000,0.000000000000000000000,48.993288590604026846000,87.6,33.6,HORS EP,GRAND-EST
0511108C,Collège Paul Fort,8.3,-0.7,87.730061349693251534000,0.000000000000000000000,51.533742331288343558000,74.0,21.8,REP+,GRAND-EST
0672765S,Collège Galilée,10.4,0.0,98.013245033112582781000,15.231788079470198675000,36.423841059602649007000,94.9,32.8,HORS EP,GRAND-EST
0670065G,Collège Leclerc,8.3,-0.7,100.000000000000000000000,36.440677966101694915000,56.779661016949152542000,87.0,28.7,REP,GRAND-EST
0670105A,Collège Lezay Marnésia,8.6,0.7,90.566037735849056604000,1.886792452830188679000,43.396226415094339623000,70.3,22.6,REP+,GRAND-EST
0671691Z,Collège Stockfeld,8.5,-0.1,83.687943262411347518000,34.751773049645390071000,53.191489361702127660000,74.7,23.0,REP,GRAND-EST
9710026B,Collège Fontaines Bouillantes,9.4,-0.9,79.310344827586206897000,0.000000000000000000000,51.724137931034482759000,84.0,30.1,REP,GUADELOUPE
9710405N,Collège Raizet,7.4,-1.5,83.453237410071942446000,0.000000000000000000000,44.604316546762589928000,87.6,28.2,HORS EP,GUADELOUPE
9710710V,Collège Alexandre Isaac,7.1,-1.8,91.428571428571428571000,0.000000000000000000000,46.666666666666666667000,89.9,27.7,REP,GUADELOUPE
9711087E,Collège roche gravée de Moho,5.6,-2.2,89.285714285714285714000,0.000000000000000000000,53.571428571428571429000,77.4,18.0,REP+,GUADELOUPE
9730337D,Ma Aiye - Collège d'Apatou,4.9,NULL,87.769784172661870504000,0.000000000000000000000,53.956834532374100719000,70.6,14.9,REP+,GUYANE
9730130D,Collège Eugène Nonnon,7.5,NULL,96.913580246913580247000,0.000000000000000000000,54.938271604938271605000,80.3,27.6,REP+,GUYANE
9730306V,Collège Omeba Tobo (Kourou III),8.0,NULL,96.031746031746031746000,0.000000000000000000000,50.000000000000000000000,83.7,29.0,REP+,GUYANE
9730374U,Collège Antoine Sylvère Felix,7.7,NULL,86.147186147186147186000,0.000000000000000000000,47.619047619047619048000,82.9,29.3,REP+,GUYANE
9730193X,Collège Gran Man Difou,5.3,NULL,95.364238410596026490000,0.000000000000000000000,47.019867549668874172000,72.0,20.4,REP+,GUYANE
9730182K,Collège La Canopée (Matoury I),6.9,NULL,96.721311475409836066000,0.000000000000000000000,47.950819672131147541000,84.3,30.5,REP+,GUYANE
9730218Z,Collège Lise Ophion (Matoury II),6.0,NULL,97.989949748743718593000,0.000000000000000000000,49.246231155778894472000,73.4,22.5,REP+,GUYANE
9730248G,Collège Albert Londres (Saint-Laurent II),4.8,NULL,97.844827586206896552000,0.000000000000000000000,53.879310344827586207000,69.5,21.8,REP+,GUYANE
0021518P,Collège Marie de Luxembourg,10.7,0.9,100.000000000000000000000,0.000000000000000000000,55.208333333333333333000,86.5,28.1,REP,HAUTS-DE-FRANCE
0020090M,Collège Charlemagne,10.1,0.8,86.206896551724137931000,0.000000000000000000000,50.000000000000000000000,75.0,25.3,REP+,HAUTS-DE-FRANCE
0020054Y,Collège Montaigne,9.1,-0.3,98.611111111111111111000,0.000000000000000000000,52.777777777777777778000,67.7,21.7,REP+,HAUTS-DE-FRANCE
0600018U,Collège Gaëtan Denain,10.1,0.5,100.000000000000000000000,0.000000000000000000000,51.111111111111111111000,81.2,24.0,REP,HAUTS-DE-FRANCE
0600032J,Collège La Rochefoucauld,11.3,0.7,98.181818181818181818000,0.000000000000000000000,52.121212121212121212000,97.1,29.9,HORS EP,HAUTS-DE-FRANCE
0801264P,Collège Rosa Parks,9.5,1.5,76.991150442477876106000,0.000000000000000000000,40.707964601769911504000,63.9,16.8,REP+,HAUTS-DE-FRANCE
0801616X,Collège Guy Mareschal,10.0,0.9,70.786516853932584270000,0.000000000000000000000,49.438202247191011236000,78.9,27.3,REP+,HAUTS-DE-FRANCE
0801485E,Collège du Val de Nièvre,11.1,0.9,80.681818181818181818000,0.000000000000000000000,47.727272727272727273000,84.8,27.5,REP,HAUTS-DE-FRANCE
0801537L,Collège Béranger,10.0,0.1,87.570621468926553672000,0.000000000000000000000,56.497175141242937853000,84.8,28.2,REP,HAUTS-DE-FRANCE
0801373H,Collège Jules Verne,11.7,1.2,92.696629213483146067000,0.000000000000000000000,50.561797752808988764000,96.5,36.2,HORS EP,HAUTS-DE-FRANCE
0590062X,Collège Villars,8.3,-0.1,88.188976377952755906000,0.000000000000000000000,44.881889763779527559000,71.6,23.4,REP,HAUTS-DE-FRANCE
